Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,2018_Census_Population,NZDep2018
5,4.0,"109 Aberley Road Schnapper Rock, Auckland",73.0,1800000,-36.7506011,174.67955849999996,7002324,63,27,24,51,30,18,Schnapper Rock,213,1.0
4,2.0,"19 Kenley Place Avondale, Auckland",79.0,1145000,-36.8896501,174.67460690000001,7004268,48,24,30,24,18,27,Avondale,162,6.0
3,1.0,"27 Stottholm Road Titirangi, Auckland",110.0,920000,-36.9284876,174.6694885,7007391,72,21,30,33,27,15,Titirangi,198,6.0
3,1.0,"71 First Avenue Kingsland, Auckland",46.0,1500000,-36.8721796,174.7386307,7004956,21,33,18,24,21,12,Kingsland,132,5.0
3,2.0,"17 Dalwhinnie Parade Highland Park, Auckland",68.0,1100000,-36.9014454,174.915807,7006932,12,12,15,12,15,24,Highland Park,90,3.0
3,2.0,"24a Roberts Road Matakatia Bay, Auckland",406.0,710000,-36.6192234,174.7798928,7001678,51,18,15,27,36,42,Matakatia,189,1.0
2,1.0,"72 Stonefields Avenue Stonefields, Auckland",10.0,1020000,-36.887909,174.8432822,7006356,45,18,42,51,18,42,Stonefields,213,3.0
3,1.0,"62 Richardson Road Mount Albert, Auckland",71.0,1150000,-36.8924701,174.71401530000003,7004636,51,39,15,21,45,33,Mount Albert,198,1.0
3,2.0,"47b Comins Crescent Mission Bay, Auckland",21.0,1600000,-36.8540672,174.8347488,7006277,24,18,27,24,18,51,Mission Bay,168,3.0
3,2.0,"26 Fairholme Avenue Epsom, Auckland",40.0,1280000,-36.9031776,174.7684391,7005632,30,24,18,15,15,30,Epsom,132,2.0
3,1.0,"24 Fairholme Avenue Epsom, Auckland",88.0,2150000,-36.9033021,174.7686074,7005632,30,24,18,15,15,30,Epsom,132,2.0
5,3.0,"4 Fairholme Avenue Epsom, Auckland",88.0,2425000,-36.903732399999996,174.77070469999995,7005632,30,24,18,15,15,30,Epsom,132,2.0
4,3.0,"4 Fairholme Avenue, Auckland",88.0,2425000,-36.903732399999996,174.77070469999995,7005632,30,24,18,15,15,30,Epsom,132,2.0
4,1.0,"7 Rata Place Pukekohe, Auckland",67.0,435000,-37.1914653,174.8967586,7010341,96,36,24,24,12,9,Pukekohe,204,10.0
4,3.0,"19b Hendry Avenue Hillsborough, Auckland",38.0,1300000,-36.9191013,174.7602332,7007766,51,48,33,30,18,12,Hillsborough,189,6.0
3,2.0,"28 Tiraumea Drive Pakuranga, Auckland",103.0,1120000,-36.9176375,174.86966619999995,7008696,90,48,51,27,36,36,Pakuranga,282,9.0
3,1.0,"47 Frank Street Oneroa, Auckland",129.0,850000,-36.7850631,175.0278712,7003352,30,12,9,15,18,33,Oneroa,123,6.0
3,2.0,"52a Sunnyside Road Sunnyvale, Auckland",110.0,930000,-36.8970908,174.6382264,7004023,51,15,24,21,12,24,Sunnyvale,153,9.0
3,2.0,"21 Capriana Drive Karaka, Auckland",55.0,1025000,-37.0639294,174.9194913,7009992,51,21,30,21,18,36,Karaka,177,2.0
3,1.0,"21 Overton Road Papatoetoe, Auckland",80.0,930000,-36.9710412,174.8693896,7008633,54,42,39,21,27,36,Papatoetoe,225,9.0
2,1.0,"1a Herd Road Hillsborough, Auckland",110.0,1225000,-36.916308,174.7598366,7007765,39,39,30,24,24,33,Hillsborough,189,3.0
6,3.0,"45 Kensington Terrace Gulf Harbour, Auckland",74.0,1100000,-36.6089222,174.785329,7001675,75,12,30,51,24,42,Gulf Harbour,234,1.0
5,3.0,"15 Harapaki Road Meadowbank, Auckland",61.0,1925000,-36.870046200000004,174.8251511,7006190,69,12,42,45,18,18,Meadowbank,201,1.0
3,1.0,"25c Pleasant Street Onehunga, Auckland",75.0,990000,-36.9198143,174.77225280000005,7007820,33,9,18,21,21,6,Onehunga,114,2.0
4,2.0,"40 Rushgreen Avenue Pahurehure, Auckland",72.0,920000,-37.0648902,174.9286899,7009998,48,21,18,18,39,33,Pahurehure,174,1.0
2,1.0,"A/18a Holly Street Avondale, Auckland",5.0,600000,-36.8900779,174.69238700000002,7004387,57,42,33,21,21,21,Avondale,195,8.0
4,2.0,"26A Holly Street, Auckland",26.0,1025000,-36.8896313,174.69248480000005,7004387,57,42,33,21,21,21,Avondale,195,8.0
3,2.0,"21b Marr Road Manurewa, Auckland",12.0,630000,-37.0152515,174.88048799999999,7009541,60,36,30,9,18,6,Manurewa,162,10.0
3,1.0,"13 Sandringham Road Mount Eden, Auckland",61.0,1575000,-36.8727657,174.7460271,7005166,27,75,33,24,15,18,Mount Eden,189,6.0
4,2.0,"40 Goodwood Drive Goodwood Heights, Auckland",75.0,1050000,-36.9931422,174.9036367,7009731,75,45,42,27,39,66,Goodwood Heights,288,4.0
4,1.0,"50 Arthur Street Manurewa, Auckland",360.0,1380000,-37.0172546,174.90741519999997,7009861,63,27,39,30,6,24,Manurewa,189,6.0
3,2.0,"3 Manuka Road Oneroa, Auckland",80.0,830000,-36.7867738,175.01150239999996,7003341,18,6,9,21,21,42,Oneroa,132,4.0
3,1.0,"160 Gowing Drive Meadowbank, Auckland",43.0,940000,-36.8688531,174.8403044,7006318,48,45,27,30,27,21,Meadowbank,201,2.0
4,2.0,"4 Helios Place Titirangi, Auckland",364.0,1520000,-36.9507221,174.64134030000002,7007223,51,21,15,39,27,27,Titirangi,180,2.0
4,3.0,"1 Landing Road Titirangi, Auckland",317.0,1400000,-36.9499586,174.64297019999995,7007223,51,21,15,39,27,27,Titirangi,180,2.0
5,3.0,"29b Rukutai Street Orakei, Auckland",54.0,1725000,-36.8581658,174.8281687,7006178,39,39,33,24,27,27,Orakei,189,4.0
4,2.0,"44 Godden Crescent, Auckland",42.0,2150000,-36.8587685,174.8284616,7006178,39,39,33,24,27,27,Mission Bay,189,4.0
3,2.0,"20 Eversleigh Road Belmont, Auckland",48.0,1325000,-36.8022939,174.78551330000005,7003315,36,9,12,18,21,12,Belmont,105,2.0
3,1.0,"34a Ascot Avenue Remuera, Auckland",27.0,1220000,-36.8839242,174.80260249999995,7005999,27,21,15,21,18,24,Remuera,120,4.0
3,1.0,"2/4 Nerissa Place Randwick Park, Auckland",12.0,630000,-37.0230935,174.9208854,7009958,54,21,21,15,9,9,Randwick Park,126,10.0
4,2.0,"31 Rapallo Place Farm Cove, Auckland",103.0,1400000,-36.8949914,174.8937769,7006737,54,21,30,27,21,24,Farm Cove,180,4.0
4,3.0,"37b Kelvin Road Remuera, Auckland",20.0,1340000,-36.8763644,174.8190155,7006075,54,12,27,30,24,45,Remuera,189,3.0
4,2.0,"46 Waiatarua Road Remuera, Auckland",103.0,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera,189,3.0
4,2.0,"46 Waiatarua Road Remuera, Auckland",103.0,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera,189,3.0
3,1.0,"6 Dorendia Place Clendon Park, Auckland",60.0,530000,-37.0252348,174.8630015,7009471,105,48,42,27,30,12,Clendon Park,267,10.0
4,2.0,"63 John Street Pukekohe, Auckland",81.0,730000,-37.21339620000001,174.9054744,7010539,48,15,12,27,27,36,Pukekohe,168,2.0
3,1.0,"70 Rimu Street New Lynn, Auckland",47.0,810000,-36.903786,174.6686326,7004296,30,21,27,24,12,21,New Lynn,138,6.0
3,1.0,"52 Easton Park Parade Glenfield, Auckland",73.0,1170000,-36.7780575,174.7153418,7002617,45,42,30,18,15,30,Glenfield,174,4.0
3,1.0,"7a Eulogy Place Randwick Park, Auckland",11.0,540000,-37.0289075,174.9155234,7009880,54,18,18,18,9,6,Randwick Park,123,10.0
4,1.0,"6/25 Solveig Place Randwick Park, Auckland",9.0,485000,-37.02979929999999,174.911026,7009882,93,66,39,24,18,9,Randwick Park,243,10.0
3,2.0,"2/13a Easter Parade Glen Eden, Auckland",15.0,790000,-36.9208765,174.6304169,7007125,72,24,30,33,33,51,Glen Eden,234,3.0
5,3.0,"5a Abbotts Way Remuera, Auckland",24.0,1240000,-36.8888684,174.8125681,7006106,57,42,45,42,9,30,Remuera,228,2.0
4,1.0,"4 Marua Road, Auckland",256.0,2725000,-36.889369,174.813201,7006106,57,42,45,42,9,30,Ellerslie,228,2.0
3,1.0,"966 Kaipara Flats Road Kaipara Flats, Auckland",150.0,680000,-36.406573200000004,174.5450829,7001269,54,9,18,30,30,33,Kaipara Flats,168,4.0
3,2.0,"37 Jaemont Avenue Te Atatu South, Auckland",88.0,860000,-36.8646972,174.6521841,7004112,33,30,15,33,27,21,Te Atatu South,162,7.0
4,3.0,"10 Sussex Street Grey Lynn, Auckland",48.0,2275000,-36.8625187,174.7474227,7005129,21,30,27,24,18,21,Grey Lynn,147,3.0
4,2.0,"50b Camp Road Mount Wellington, Auckland",37.0,850000,-36.9314956,174.8467009,7008343,51,57,42,27,30,39,Mount Wellington,234,7.0
3,1.0,"68 Walters Road Mount Wellington, Auckland",68.0,780000,-36.931371,174.8475282,7008343,51,57,42,27,30,39,Mount Wellington,234,7.0
6,3.0,"32 Red Hills Road Massey, Auckland",1055.0,1945000,-36.8395657,174.5907986,7003463,42,24,15,30,27,33,Massey,180,5.0
2,1.0,"41 Ballarat Street Ellerslie, Auckland",40.0,1000000,-36.895017100000004,174.8242295,7006236,42,15,48,39,12,24,Ellerslie,186,4.0
3,2.0,"17a Foxlaw Street Randwick Park, Auckland",56.0,710000,-37.0223681,174.92095319999999,7009955,87,24,33,39,21,27,Randwick Park,231,8.0
4,2.0,"30 Kuaka Drive Takanini, Auckland",25.0,810000,-37.0414044,174.9349884,7010021,75,72,66,33,15,15,Takanini,276,3.0
5,3.0,"144 Arran Point Parade Orewa, Auckland",51.0,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa,18,7.0
4,2.0,"106 Godfrey Drive Orewa, Auckland",65.0,590000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,18,7.0
4,2.0,"135 Godfrey Drive Orewa, Auckland",60.0,1075000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,18,7.0
5,3.0,"17 Davey Crescent Orewa, Auckland",65.0,1250000,-36.5903256,174.6681286,7001409,0,0,0,0,0,0,Orewa,18,7.0
5,3.0,"32 Cassidy Drive Orewa, Auckland",51.0,1225000,-36.5937888,174.6739169,7001409,0,0,0,0,0,0,Orewa,18,7.0
5,3.0,"130 Arran Point Parade Orewa, Auckland",52.0,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa,18,7.0
5,3.0,"7 Maka Terrace Orewa, Auckland",65.0,1260000,-36.5936147,174.67732469999999,7001409,0,0,0,0,0,0,Orewa,18,7.0
4,2.0,"111 Godfrey Drive Orewa, Auckland",55.0,1050000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,18,7.0
5,3.0,"16 Gospel Heights (arrowsmith Dr) Flat Bush, Auckland",42.0,1200000,-36.9861529,174.9072372,7009106,45,48,30,18,24,24,Flat Bush,192,2.0
3,2.0,"25 Porter Crescent Helensville, Auckland",47.0,720000,-36.677469200000004,174.4522649,7001739,33,24,9,15,24,48,Helensville,150,7.0
3,1.0,"14 Stainton Place Otara, Auckland",106.0,580000,-36.9563698,174.8892654,7008844,45,27,12,15,15,15,Otara,132,10.0
3,1.0,"20 Blampied Road Otara, Auckland",72.0,570000,-36.955804799999996,174.8879416,7008844,45,27,12,15,15,15,Otara,132,10.0
3,2.0,"627b Manukau Road Epsom, Auckland",25.0,1300000,-36.9047954,174.7739675,7007786,21,15,18,12,18,18,Epsom,108,4.0
5,2.0,"1/43 Shanaway Rise Hillcrest, Auckland",22.0,1225000,-36.800166299999994,174.7338294,7002953,42,33,21,21,6,18,Hillcrest,141,5.0
5,3.0,"18 Coolaghy Drive Flat Bush, Auckland",42.0,1250000,-36.971777100000004,174.918647,7009239,39,21,30,18,9,12,Flat Bush,129,3.0
4,2.0,"30 Glenelg Road Red Beach, Auckland",146.0,970000,-36.6109852,174.7127236,7001568,24,12,15,12,18,42,Red Beach,132,4.0
4,1.0,"40 Freeland Avenue Mount Roskill, Auckland",70.0,1000000,-36.915799799999995,174.73439419999997,7007615,42,33,24,18,12,21,Mount Roskill,150,9.0
4,2.0,"121 Harbourside Drive Karaka, Auckland",82.0,980000,-37.0678773,174.9257112,7009995,60,21,48,39,27,30,Karaka,219,1.0
4,2.0,"157 Harbourside Drive Karaka, Auckland",74.0,990000,-37.0650699,174.92475890000003,7009995,60,21,48,39,27,30,Karaka,219,1.0
3,1.0,"56a Orion Street Papakura, Auckland",27.0,680000,-37.07187879999999,174.9563186,7010203,99,48,30,21,24,15,Papakura,240,10.0
6,2.0,"58a Coxhead Road Manurewa, Auckland",67.0,1030000,-37.03110510000001,174.89252319999997,7009684,57,51,18,15,21,15,Manurewa,183,9.0
3,2.0,"31 West Lynn Road Titirangi, Auckland",77.0,920000,-36.92187670000001,174.6646886,7007317,57,15,24,27,30,36,Titirangi,183,4.0
3,1.0,"79 Wellington Street Pukekohe, Auckland",31.0,600000,-37.2096583,174.8966255,7010504,45,42,18,33,27,33,Pukekohe,201,7.0
4,2.0,"28 Weldene Avenue Glenfield, Auckland",89.0,920000,-36.774209899999995,174.72523030000005,7002758,18,18,18,15,12,24,Glenfield,99,6.0
9,5.0,"54 Central Avenue Papatoetoe, Auckland",202.0,1350000,-36.975488299999995,174.8644449,7008648,39,27,21,15,21,21,Papatoetoe,147,9.0
3,1.0,"199 Balmoral Road Mount Eden, Auckland",37.0,900000,-36.8864339,174.74586090000003,7005199,57,33,36,30,18,15,Mount Eden,186,6.0
2,2.0,"312-1 Kimiora Street Three Kings, Auckland",9.0,920000,-36.904282200000004,174.7588224,7005473,0,12,0,0,0,0,Three Kings,30,7.0
3,2.0,"34 Kimiora Street Three Kings, Auckland",28.0,1340000,-36.9036375,174.75841880000004,7005473,0,12,0,0,0,0,Three Kings,30,7.0
3,1.0,"6 Larch Street Avondale, Auckland",42.0,850000,-36.900007099999996,174.6938496,7004415,33,27,30,15,21,21,Avondale,153,6.0
3,1.0,"58 Arodella Crescent Ranui, Auckland",62.0,630000,-36.8574435,174.60012680000003,7003539,60,30,18,15,15,27,Ranui,171,10.0
6,2.0,"264 Sunset Road Sunnynook, Auckland",47.0,1325000,-36.7502525,174.7350724,7002875,51,48,45,27,30,24,Windsor Park,222,4.0
3,2.0,"53a Landscape Road Mount Eden, Auckland",11.0,1140000,-36.898097799999995,174.75660459999997,7005463,30,72,24,18,21,15,Mount Eden,174,5.0
4,2.0,"15a Forrest Hill Road Milford, Auckland",46.0,1745000,-36.7781846,174.7508405,7003086,63,36,42,30,30,18,Milford,216,4.0
3,1.0,"35 Grand View Road Leigh, Auckland",89.0,740000,-36.2986271,174.79864840000005,7001158,18,6,9,12,27,48,Leigh,117,5.0
3,2.0,"10 Barrister Avenue Mount Roskill, Auckland",37.0,1120000,-36.906797999999995,174.7543779,7005250,63,18,21,12,6,18,Mount Roskill,129,10.0
3,2.0,"4/61 Birdwood Avenue Papatoetoe, Auckland",12.0,580000,-36.9779943,174.8681825,7008656,42,42,30,24,21,21,Papatoetoe,186,7.0
3,1.0,"66d Woodglen Road Glen Eden, Auckland",42.0,670000,-36.915067,174.6456471,7007252,48,9,15,30,12,21,Glen Eden,144,6.0
4,3.0,"68 Glen Marine Parade Glendene, Auckland",86.0,800000,-36.8820848,174.6567039,7004220,45,27,33,24,15,30,Glendene,180,8.0
3,1.0,"7 Le Havre Place Takanini, Auckland",88.0,580000,-37.03931400000001,174.92106299999998,7009970,33,51,24,15,12,24,Takanini,150,9.0
4,2.0,"152 Grey Street Onehunga, Auckland",69.0,1175000,-36.9175628,174.7935673,7007983,66,33,48,36,27,33,Onehunga,237,5.0
4,3.0,"1 Taupinga Way Takanini, Auckland",23.0,800000,-37.0443323,174.927343,7010024,60,66,72,27,21,9,Takanini,249,3.0
4,2.0,"60 Hill Street Onehunga, Auckland",56.0,1325000,-36.920718,174.78031869999995,7007906,21,21,15,18,27,27,Onehunga,132,8.0
4,2.0,"181 Drury Hills Road Drury, Auckland",800.0,1510000,-37.116236900000004,174.978964,7010270,39,27,18,27,45,69,Drury,219,1.0
4,3.0,"115 Macwhinney Drive Drury, Auckland",812.0,1620000,-37.1206153,174.9833398,7010270,39,27,18,27,45,69,Drury,219,1.0
3,1.0,"34 Queensway Three Kings, Auckland",44.0,1360000,-36.9069089,174.76022849999995,7005474,51,36,18,24,27,36,Three Kings,189,4.0
4,2.0,"7 Caram Place Birkenhead, Auckland",74.0,920000,-36.807162,174.71120390000004,7002670,36,15,30,21,21,3,Birkenhead,129,2.0
3,1.0,"5 Charlotte Street Stanmore Bay, Auckland",63.0,870000,-36.6246599,174.7297045,7001611,72,27,18,30,33,30,Stanmore Bay,213,4.0
3,1.0,"275 Puhinui Road Papatoetoe, Auckland",41.0,660000,-36.991306200000004,174.84849640000004,7009392,45,45,30,21,18,24,Papatoetoe,183,8.0
3,1.0,"1/25 Abraham Place St Johns, Auckland",9.0,850000,-36.8736688,174.8480004,7006441,36,27,42,21,6,15,Saint Johns,147,6.0
3,2.0,"35 Birkdale Road Birkdale, Auckland",80.0,1050000,-36.8046583,174.7047238,7002550,30,36,33,21,24,18,Birkdale,162,3.0
2,1.0,"51 Clarence Street Ponsonby, Auckland",32.0,1625000,-36.8481167,174.73943,7004881,39,33,27,33,33,21,Ponsonby,186,5.0
3,2.0,"3 Fallsbrook Lane Mangere Bridge, Auckland",81.0,1625000,-36.9469952,174.77865680000005,7007923,39,18,36,18,24,51,Mangere Bridge,189,4.0
3,2.0,"34 Parry Road Mount Wellington, Auckland",72.0,910000,-36.933223100000006,174.84677019999995,7008462,15,30,21,12,9,15,Mount Wellington,93,8.0
4,3.0,"8 Wawatai Drive Karaka, Auckland",58.0,1175000,-37.0800841,174.9260771,7010002,81,15,51,45,21,36,Karaka,249,1.0
2,2.0,"2/18 Cleary Road Panmure, Auckland",14.0,790000,-36.9011618,174.8510364,7006467,21,39,21,12,9,9,Panmure,108,8.0
3,2.0,"10 Belmont Place Warkworth, Auckland",60.0,830000,-36.395545299999995,174.6535508,7001213,51,15,27,27,21,30,Warkworth,174,4.0
6,4.0,"164 Wade River Road Arkles Bay, Auckland",32.0,1825000,-36.6418176,174.7328175,7001628,24,15,9,9,21,24,Wade Heads,93,1.0
4,1.0,"36 Ngapuhi Road Remuera, Auckland",17.0,1775000,-36.876847399999996,174.8147784,7006080,39,6,21,18,27,15,Remuera,123,2.0
4,2.0,"5 Gulliver Road Conifer Grove, Auckland",66.0,880000,-37.0465768,174.9117585,7009901,51,39,24,33,45,39,Conifer Grove,231,2.0
3,1.0,"117 Settlement Road Papakura, Auckland",42.0,520000,-37.0654435,174.9672078,7010237,99,33,27,33,18,24,Papakura,237,10.0
3,1.0,"14 Chantal Place Red Hill, Auckland",58.0,470000,-37.0661128,174.9674898,7010237,99,33,27,33,18,24,Red Hill,237,10.0
4,2.0,"104 Joseph Street Flat Bush, Auckland",29.0,800000,-36.986520399999996,174.90794250000005,7009107,36,48,36,9,6,0,Flat Bush,141,4.0
3,2.0,"73 Joseph Street Flat Bush, Auckland",14.0,420000,-36.98607310000001,174.90841369999995,7009107,36,48,36,9,6,0,Flat Bush,141,4.0
3,2.0,"278 Burtt Road Pukekohe, Auckland",31.0,1250000,-37.1463039,174.929007,7010364,27,6,18,9,15,24,Paerata,96,3.0
2,1.0,"43 Tautari Street Orakei, Auckland",84.0,2275000,-36.8569511,174.818547,7006050,42,15,21,27,21,39,Orakei,168,4.0
5,3.0,"45 Tautari Street Orakei, Auckland",103.0,2625000,-36.8568781,174.8186995,7006050,42,15,21,27,21,39,Orakei,168,4.0
3,1.0,"2 Kilcar Place Massey, Auckland",44.0,560000,-36.8412486,174.6043601,7003521,48,30,27,27,21,21,Massey,177,8.0
4,1.0,"17 Albion Place Papakura, Auckland",95.0,680000,-37.067935399999996,174.9598568,7010199,87,48,27,21,33,18,Papakura,237,9.0
3,2.0,"71b Settlement Road Papakura, Auckland",57.0,670000,-37.066514,174.9580746,7010199,87,48,27,21,33,18,Papakura,237,9.0
5,3.0,"8 Della Place Conifer Grove, Auckland",87.0,1490000,-37.0516846,174.90614230000003,7009906,36,21,12,30,27,42,Conifer Grove,168,2.0
4,2.0,"67 Verran Road Birkenhead, Auckland",80.0,830000,-36.804617799999995,174.71203480000003,7002666,54,36,33,30,15,21,Birkenhead,195,3.0
7,2.0,"33 Haslett Street Eden Terrace, Auckland",33.0,1400000,-36.8661486,174.75379180000004,7005141,24,42,21,12,12,15,Eden Terrace,132,3.0
3,1.0,"120 Portage Road New Lynn, Auckland",151.0,1005000,-36.920320000000004,174.6919081,7007481,30,15,15,9,12,6,New Lynn,90,9.0
3,2.0,"5/16 Duncan Avenue Te Atatu South, Auckland",52.0,850000,-36.877027399999996,174.640536,7003976,27,18,21,12,6,18,Te Atatu South,102,7.0
3,1.0,"11 Tangaroa Street Point England, Auckland",63.0,1040000,-36.8901125,174.8659207,7006581,57,27,18,15,18,12,Point England,147,10.0
5,3.0,"10 Kouras Place Flat Bush, Auckland",41.0,1225000,-36.959775,174.93261090000001,7009292,39,12,21,21,15,3,Flat Bush,111,5.0
3,2.0,"2/34 Walpole Avenue Manurewa, Auckland",17.0,630000,-37.0146766,174.89846619999997,7009772,51,39,39,27,18,36,Manurewa,210,6.0
3,1.0,"4 Sally Crescent Mount Roskill, Auckland",65.0,990000,-36.9094537,174.7238505,7007592,45,45,24,30,18,39,Mount Roskill,201,6.0
4,2.0,"61 Otitori Bay Road Titirangi, Auckland",157.0,825000,-36.9465931,174.6634799,7007342,48,9,15,33,18,21,Titirangi,135,1.0
9,4.0,"Glendowie  Auckland City  1071 Glendowie, Auckland",184.0,2200000,-36.8603096,174.86930180000004,7006635,30,18,3,18,21,12,Glendowie,102,4.0
4,2.0,"9 Colchester Avenue Glendowie, Auckland",40.0,2050000,-36.859620899999996,174.8696361,7006635,30,18,3,18,21,12,Glendowie,102,4.0
2,1.0,"19 Gwilliam Place Freemans Bay, Auckland",17.0,1500000,-36.8506282,174.7506425,7005093,21,27,21,15,15,48,Freemans Bay,147,3.0
3,1.0,"23 Mountain Road Mount Wellington, Auckland",8.0,960000,-36.895639,174.8455024,7006461,27,12,27,24,18,15,Mount Wellington,123,6.0
4,2.0,"10 Willoughby Avenue Howick, Auckland",68.0,970000,-36.8976911,174.9135872,7006911,69,24,27,33,12,27,Howick,195,5.0
4,3.0,"64 Selman Road Dairy Flat, Auckland",38.0,2525000,-36.6374487,174.6341666,7001771,57,18,27,30,39,54,Dairy Flat,219,3.0
3,2.0,"4 Hilltop Street Remuera, Auckland",11.0,1220000,-36.883432299999996,174.81580459999995,7006097,63,30,42,39,24,30,Remuera,219,1.0
5,3.0,"60 Fernhill Way Albany, Auckland",55.0,1345000,-36.7233994,174.72007580000005,7001859,48,42,30,21,21,30,Oteha,189,4.0
4,3.0,"201b Jervois Road Herne Bay, Auckland",76.0,4700000,-36.8470899,174.7318972,7004701,45,24,15,30,33,39,Herne Bay,189,1.0
4,2.0,"8 Balmain Road Birkenhead, Auckland",23.0,1100000,-36.8118318,174.7101814,7004547,60,24,36,36,24,66,Chatswood,249,2.0
2,1.0,"37 Bluegrey Avenue Stonefields, Auckland",10.0,1020000,-36.8865576,174.8404341,7006346,27,42,24,21,18,27,Stonefields,162,2.0
3,1.0,"20 Zelda Avenue Clover Park, Auckland",60.0,630000,-36.97792020000001,174.8961056,7008964,63,36,24,27,24,30,Clover Park,195,9.0
3,2.0,"2/1255 Dominion Rd Ext Mount Roskill, Auckland",16.0,830000,-36.9209207,174.7357439,7007672,81,39,60,30,21,27,Mount Roskill,258,7.0
4,2.0,"10 Huahua Crescent Papakura, Auckland",51.0,470000,-37.0493856,174.97289080000004,7010211,123,99,93,39,39,18,Papakura,414,5.0
5,3.0,"22 Huahua Crescent Papakura, Auckland",52.0,470000,-37.0502164,174.97293630000001,7010211,123,99,93,39,39,18,Papakura,414,5.0
5,3.0,"77 Twin Parks Rise Papakura, Auckland",60.0,480000,-37.049918,174.9724182,7010211,123,99,93,39,39,18,Papakura,414,5.0
